,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
8893,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,767,17,5100000
8894,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,16,4800000
8895,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,164,36736000
8896,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,757,1,198000
8897,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,825,163350000
8898,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,747,120,75600000
8899,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,30,18900000
8900,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,747,146,91980000
8901,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,747,3,1890000
8902,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,5,776500
8903,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,2,314600
8904,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,2,294600
8905,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,682,105918600
8906,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,53,7753900
8907,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,63,9216900
8908,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,892,130285700
8909,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,53,6847600
8910,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,16,2067200
8911,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,247,31912400
8912,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,24,3412800
8913,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,18,2475000
8914,Swissport USA,UA,Swissport USA,UA,International,Europe,Freighter,Wide Body,Boeing,747,1,666000
8915,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Airbus,A340,30,12566340
8916,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,11,1608700
8917,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,41,5297200
8918,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,54,7776000
8919,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,980,125440000
8920,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,199,22686000
8921,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Turbo Prop,Embraer,EMB,1685,43473000
8922,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,15,1126500
8923,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,6,402000
8924,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ,125,8375000
8925,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,914,61238000
8926,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CL600,64,3008000
8927,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CL600,1145,53815000
8928,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,777,60,33240000
8929,Servisair,UA,Servisair,UA,International,Europe,Freighter,Wide Body,Boeing,AN-124,1,727525
8930,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Passenger,Wide Body,Airbus,A340,26,10868000
8931,Republic Airlines,RW,Republic Airlines,RW,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,1,94800
8932,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A340,12,5026488
8933,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,747,18,11340000
8934,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,9,6867000
8935,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,15,9780000
8936,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A380,30,25860000
8937,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,30,17130000
8938,LAN Peru,LP,LAN Peru,LP,International,South America,Passenger,Wide Body,Boeing,767,13,4160000
8939,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,2,1108000
8940,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,28,12880000
8941,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,28,21364000
8942,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,747,29,18232880
8943,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Combi,Wide Body,Boeing,747,1,628720
8944,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,347,49343400
8945,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,787,30,11400000
8946,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A330,30,12030000
8947,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,33,4692534
8948,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,96,12912000
8949,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A310,8,2187200
8950,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A310,11,2946900
8951,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A300,1,308700
8952,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,777,51,28254000
8953,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,747,9,5868000
8954,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,59,8389682
8955,Delta Air Lines,DL,Delta Air Lines,DL,International,Asia,Passenger,Wide Body,Boeing,767,29,9280000
8956,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,13,4160000
8957,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,66,19470000
8958,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,36,8064000
8959,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,433,85734000
8960,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,53,7753900
8961,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,471,35408838
8962,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Airbus,A330,30,12036000
8963,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,24,15984000
8964,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,28,17640000
8965,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,777,29,16037000
8966,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,4,3052000
8967,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,4,2664000
8968,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,29,18270000
8969,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,60,37800000
8970,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,767,1,272000
8971,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,747,3,1998000
8972,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,30,13800000
8973,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,29,19006000
8974,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,C-99,15,169500
8975,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,B-99,3,32700
8976,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,1900C,19,305900
8977,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,90,27900000
8978,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,73,19710000
8979,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,103,20394000
8980,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,737,638,91872000
8981,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,30,16620000
8982,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,24,3511200
8983,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,49,7168700
8984,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,18,2592000
8985,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,187,26928000
8986,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,11,1421200
8987,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,5,605000
8988,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,105,12705000
8989,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,87,11136000
8990,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,16,7520000
8991,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,14,8820000
8992,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,777,28,15511832
8993,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,777,31,14263100
8994,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,24,15120000
8995,Air China,CA,Air China,CA,International,Asia,Combi,Wide Body,Boeing,747,6,3780000
8996,Air Cargo Carriers,2Q,Air Cargo Carriers,2Q,Domestic,US,Freighter,Turbo Prop,Shorts,SD3,20,520000
8997,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Regional Jet,Embraer,ERJ,110,10670000
8998,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,22,3773000
8999,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,13,1848600
9000,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,102,14504400
9001,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,49,6590500
9002,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,1,319900
9003,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,60,7680000
9004,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,40,10924000
9005,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A321,198,33957000
9006,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,1,320000
9007,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,121,35695000
9008,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,72,16128000
9009,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,533,105534000
9010,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,83,12142900
9011,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Airbus,A330,31,12437200
9012,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,19,12654000
9013,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,31,19530000
9014,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A321,262,44933000
9015,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,96,13651200
9016,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A319,1,137700
9017,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Turbo Prop,DeHavilland,DH8,85,5248750
9018,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,62,7936000
9019,Emirates,EK,Emirates,EK,International,Middle East,Passenger,Wide Body,Boeing,777,31,17173969
9020,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,20,2844000
9021,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,10,1715000
9022,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,1,319900
9023,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,1,319900
9024,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Regional Jet,Embraer,ERJ,121,11737000
9025,Air Cargo Carriers,2Q,Air Cargo Carriers,2Q,Domestic,US,Freighter,Turbo Prop,Shorts,SD3,23,598000
9026,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,42,11446000
9027,Air China,CA,Air China,CA,International,Asia,Combi,Wide Body,Boeing,747,5,3150000
9028,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,26,16380000
9029,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,777,31,14263100
9030,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,777,31,17173814
9031,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,22,13860000
9032,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,5,2350000
9033,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,92,11776000
9034,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,112,13552000
9035,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,31,3751000
9036,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,99,12790800
9037,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,120,17280000
9038,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,2,288000
9039,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,46,6729800
9040,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,25,3657500
9041,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,4,629200
9042,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,1,157300
9043,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,31,17174000
9044,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,737,672,96768000
9045,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,88,17424000
9046,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,82,22140000
9047,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,212,30125200
9048,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,100,31000000
9049,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,1900C,23,370300
9050,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,B-99,15,163500
9051,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,C-99,7,79100
9052,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,83,11163500
9053,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,26,17092000
9054,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,31,14260000
9055,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,International,South America,Freighter,Wide Body,Boeing,747,2,1332000
9056,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,767,2,544000
9057,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,62,39060000
9058,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,31,19530000
9059,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,1,666000
9060,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,2,1526000
9061,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,777,31,17143000
9062,XL Airways France,SE,XL Airways France,SE,International,Europe,Passenger,Wide Body,Airbus,A330,9,3567429
9063,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,737,1,146300
9064,WestJet Airlines,WS,WestJet Airlines,WS,International,Canada,Passenger,Narrow Body,Boeing,737,61,7881200
9065,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,747,31,19530000
9066,Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A320,37,5274554
9067,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,1179,167949072
9068,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,364,50155196
9069,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,34,4834800
9070,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,50,7110000
9071,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1000,142200000
9072,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,34,4681800
9073,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,69,9501300
9074,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,715,98455500
9075,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,777,13,5980000
9076,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,777,65,29900000
9077,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,22,10120000
9078,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,61,27145000
9079,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,777,1,470000
9080,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,36,12600000
9081,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,767,3,960000
9082,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,5,1600000
9083,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,767,26,7800000
9084,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,29,8700000
9085,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,209,46816000
9086,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,757,2,396000
9087,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,946,187308000
9088,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,747,111,69930000
9089,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,31,19530000
9090,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,747,153,96390000
9091,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,747,1,630000
9092,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,11,1720300
9093,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,2,314600
9094,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,1,149300
9095,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,687,106649100
9096,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,61,8899000
9097,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,39,5694200
9098,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,920,134354500
9099,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,13,1679600
9100,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,7,904400
9101,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,168,21705600
9102,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,25,3555000
9103,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A319,32,4400000
9104,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Airbus,A340,31,12985218
9105,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,15,2193000
9106,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,55,7106000
9107,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,41,5904000
9108,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,1062,135936000
9109,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,213,24282000
9110,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Turbo Prop,Embraer,EMB,1715,44247000
9111,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,279,20952900
9112,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,96,6432000
9113,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ,131,8777000
9114,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,853,57151000
9115,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CL600,76,3572000
9116,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CL600,1271,59737000
9117,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,777,62,34348000
9118,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Passenger,Wide Body,Airbus,A340,27,11286000
9119,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A340,8,3350992
9120,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,747,23,14490000
9121,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,9,6867000
9122,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,17,11084000
9123,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A380,31,26722000
9124,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,31,17701000
9125,LAN Peru,LP,LAN Peru,LP,International,South America,Passenger,Wide Body,Boeing,767,14,4480000
9126,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,31,17174000
9127,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,31,23653000
9128,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,747,1,652000
9129,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,747,31,19490320
9130,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,388,55173600
9131,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,787,1,380000
9132,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,777,30,13890000
9133,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A330,31,12431000
9134,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,30,4265940
9135,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,93,12508500
9136,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Boeing,737,1,146300
9137,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A310,5,1367000
9138,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A310,13,3476000
9139,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A300,5,1543500
9140,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,777,52,28808000
